;M_id;M_name;C_in;C_in_name;C_out;C_out_name;SM_id
M_46;M_46;Propanoyl-CoA_Succinate;Propanoyl-CoA;C00100;Succinate;C00042;7
M_47;M_47;Propanoyl-CoA_Acetyl-CoA;Propanoyl-CoA;C00100;Acetyl-CoA;C00024;7
M_48;M_48;Glutamate_Glutamine;Glutamate;C00025;Glutamine;C00064;8
M_49;M_49;Glutamate_GABA;Glutamate;C00025;GABA;C00334;8
M_50;M_50;GABA_Succinate;GABA;C00334;Succinate;C00042;8
M_51;M_51;Glutamate_2OG;Glutamate;C00025;2OG;C00026;8
M_52;M_52;Histidine_glutamate;Histidine;C00135;glutamate;C00025;8
M_53;M_53;Leucine_Acetyl-CoA;Leucine;C00123;Acetyl-CoA;C00024;9
M_54;M_54;Valine_Succinyl-CoA;Valine;C00183;Succinyl-CoA;C00091;9
M_55;M_55;Isoleucine_Succinyl-CoA;Isoleucine;C00407;Succinyl-CoA;C00091;9
M_56;M_56;Isoleucine_Acetyl-CoA;Isoleucine;C00407;Acetyl-CoA;C00024;9
M_57;M_57;Tyrosine_Fumarate;Tyrosine;C00082;Fumarate;C00122;9
M_58;M_58;Tyrosine_Tyrosine-OUT;Tyrosine;C00082;Tyrosine-OUT;C00000;9
M_59;M_59;Phenylalanine_Tyrosine;Phenylalanine;C00079;Tyrosine;C00082;9
M_60;M_60;lysine_Acetyl-CoA;lysine;C00047;Acetyl-CoA;C00024;9
M_61;M_61;Putrescine_GABA;Putrescine;C00134;GABA;C00334;10
M_62;M_62;Ornithine_Putrescine;Ornithine;C00077;Putrescine;C00134;10
M_63;M_63;Arginine_Ornithine;Arginine;C00062;Ornithine;C00077;10
M_64;M_64;Arginine_Putrescine;Arginine;C00062;Putrescine;C00134;10
M_65;M_65;Argininosuccinate_Arginine + Fumarate;Argininosuccinate;C03406;Arginine + Fumarate;C00062+C00122;10
M_66;M_66;Citruline + Aspartate_Argininosuccinate;Citruline + Aspartate;C00327+C00049;Argininosuccinate;C03406;10
M_67;M_67;Ornithine_Proline;Ornithine;C00077;Proline;C00148;10
M_68;M_68;Proline_Glyoxylate + pyruvate;Proline;C00148;Glyoxylate + pyruvate;C00048+C00022;10
M_69;M_69;Putresine_Spermine;Putresine;C00134;Spermine;C00750;11
M_70;M_70;Methionine_Spermine;Methionine;C00073;Spermine;C00750;11
M_71;M_71;Glucose_in_Glucose;Glucose_in;C00000;Glucose;C00267;12
M_72;M_72;Acetyl-CoA_in_Acetyl-CoA;Acetyl-CoA_in;C00000;Acetyl-CoA;C00024;12
M_73;M_73;Citrate_in_Citrate;Citrate_in;C00000;Citrate;C00158;12
M_74;M_74;2OG_in_2OG;2OG_in;C00000;2OG;C00026;12
M_75;M_75;Succinate_in_Succinate;Succinate_in;C00000;Succinate;C00042;12
M_76;M_76;Malate_in_Malate;Malate_in;C00000;Malate;C00149;12
M_77;M_77;Oxaloacetate_in_Oxaloacetate;Oxaloacetate_in;C00000;Oxaloacetate;C00036;12
M_78;M_78;Lactate_Lactate_out;Lactate;C00256;Lactate_out;C00000;12
M_79;M_79;serine_in_serine;serine_in;C00000;serine;C00065;12
M_80;M_80;Cysteine_in_Cysteine;Cysteine_in;C00000;Cysteine;C00097;12
M_81;M_81;Glycine_in_Glycine;Glycine_in;C00000;Glycine;C00037;12
M_82;M_82;Creatine_in_Creatine;Creatine_in;C00000;Creatine;C00300;12
M_83;M_83;Choline_in_Choline;Choline_in;C00000;Choline;C00114;12
M_84;M_84;Threonine_in_Threonine;Threonine_in;C00000;Threonine;C00188;12
M_85;M_85;Aspartate_in_Aspartate;Aspartate_in;C00000;Aspartate;C00049;12
M_86;M_86;Asparagine_in_Asparagine;Asparagine_in;C00000;Asparagine;C00152;12
M_87;M_87;Pyrimidine_in_Pyrimidine;Pyrimidine_in;C00000;Pyrimidine;CC0002;12
M_88;M_88;Histidine_in_Histidine;Histidine_in;C00000;Histidine;C00135;12
M_89;M_89;B-Alanine_in_B-Alanine;B-Alanine_in;C00000;B-Alanine;C00099;12
M_90;M_90;Propanoyl-CoA_in_Propanoyl-CoA;Propanoyl-CoA_in;C00000;Propanoyl-CoA;C00100;12
M_91;M_91;glutamate_in_glutamate;glutamate_in;C00000;glutamate;C00025;12
M_92;M_92;Glutamine_in_Glutamine;Glutamine_in;C00000;Glutamine;C00064;12
M_93;M_93;GABA_in_GABA;GABA_in;C00000;GABA;C00334;12
M_94;M_94;Tyrosine_in_Tyrosine;Tyrosine_in;C00000;Tyrosine;C00082;12
M_95;M_95;phenylalanine_in_phenylalanine;phenylalanine_in;C00000;phenylalanine;C00079;12
M_96;M_96;Valine_in_Valine;Valine_in;C00000;Valine;C00183;12
M_97;M_97;Isoleucine_in_Isoleucine;Isoleucine_in;C00000;Isoleucine;C00407;12
M_98;M_98;Leucine_in_Leucine;Leucine_in;C00000;Leucine;C00123;12
M_99;M_99;Lysine_in_Lysine;Lysine_in;C00000;Lysine;C00047;12
M_100;M_100;Arginine_Arginine;Arginine;C00000;Arginine;C00062;12
M_101;M_101;Citrulline_in_Citrulline;Citrulline_in;C00000;Citrulline;C00327;12
M_102;M_102;Ornithine_in_Ornithine;Ornithine_in;C00000;Ornithine;C00077;12
M_103;M_103;Proline_in_Proline;Proline_in;C00000;Proline;C00148;12
M_104;M_104;Tryptophan_in_Tryptophan;Tryptophan_in;C00000;Tryptophan;C00078;12
M_105;M_105;Fatty Acid_in_Fatty Acid;Fatty Acid_in;C00000;Fatty Acid;CC0001;12
M_106;M_106;Glucose_Glucose-6-phosphate;Glucose;C00267;Glucose-6-phosphate;C00668;13
M_107;M_107;Glucose-6-phosphate_UDP-N-acetylglucosamine;Glucose-6-phosphate;C00668;UDP-N-acetylglucosamine;C00043;13
